len,Неоптимизированный алгоритм Винограда
1,0.0000010
2,0.0000008
4,0.0000014
8,0.0000030
16,0.0000190
32,0.0001236
64,0.0009072
128,0.0071384
256,0.0766986
512,0.5478396
