len,Одинаковые
10,0.0000079
60,0.0000221
110,0.0000361
160,0.0000529
210,0.0000648
260,0.0000799
310,0.0001110
360,0.0001231
410,0.0001456
460,0.0002007
510,0.0002042
560,0.0001976
610,0.0002349
660,0.0002367
710,0.0002505
760,0.0002531
810,0.0002612
860,0.0002680
910,0.0004040
960,0.0004073
