len,Порязрядная_сортировка
10,0.0000095
60,0.0000287
110,0.0000491
160,0.0000718
210,0.0000843
260,0.0001089
310,0.0001419
360,0.0001283
410,0.0001433
460,0.0002042
510,0.0002036
560,0.0001990
610,0.0002346
660,0.0002390
710,0.0002445
760,0.0002551
810,0.0002696
860,0.0002703
910,0.0004111
960,0.0004153
